Class,Role Stereotype,Design Smell,Cause of the Smell
com.eteks.sweethome3d.viewcontroller.RoomController,Coordinator,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 43 public methods
com.eteks.sweethome3d.viewcontroller.RoomController$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.RoomController$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.viewcontroller.RoomController$RoomPaint,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.RoomController$WallSide,Information Holder,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LEFT_SIDE; RIGHT_SIDE; wall; side; wallAtStart; wallAtEnd; joinedAtEndOfWallAtStart; joinedAtStartOfWallAtEnd
com.eteks.sweethome3d.viewcontroller.TextureChoiceController$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.TextureChoiceController$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.viewcontroller.TextureChoiceView,Service Provider,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): View
com.eteks.sweethome3d.viewcontroller.ThreadedTaskView,Service Provider,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): View
com.eteks.sweethome3d.viewcontroller.TransferableView,Service Provider,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PLAN_IMAGE; FURNITURE_LIST; name
com.eteks.sweethome3d.viewcontroller.TransferableView,Service Provider,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): View
com.eteks.sweethome3d.viewcontroller.TransferableView$DataType,Information Holder,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PLAN_IMAGE; FURNITURE_LIST; name
com.eteks.sweethome3d.viewcontroller.UserPreferencesController,Coordinator,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 54 public methods
com.eteks.sweethome3d.viewcontroller.UserPreferencesController$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.UserPreferencesController$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.viewcontroller.VideoController,Controller,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 25 public methods
com.eteks.sweethome3d.viewcontroller.VideoController$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.VideoController$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.viewcontroller.VideoController$HomeEnvironmentChangeListener,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.viewcontroller.View,Interfacer,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: HomeFramePane; BackgroundImageWizardStepsPanel; BaseboardChoiceComponent; FurnitureCatalogListPanel; FurnitureCatalogTree; HomeComponent3D; ImportedTextureWizardStepsPanel; ModelMaterialsComponent; PlanRulerComponent; DialogView; ExportableView; HelpView; HomeView; ImportedFurnitureWizardStepsView; TextureChoiceView; ThreadedTaskView; TransferableView
com.eteks.sweethome3d.viewcontroller.ViewFactory,Service Provider,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 29 public methods
com.eteks.sweethome3d.viewcontroller.ViewFactory,Service Provider,Hub-like Modularization,The tool detected the smell in this class because this class has high number of incoming as well as outgoing dependencies. Incoming dependecies: AppletApplication; AppletContentManager; HomeAppletController; ViewerHelper; HomeFrameController; SweetHome3D; HomePluginController; BackgroundImageWizardController; BaseboardChoiceController; CompassController; FurnitureCatalogController; FurnitureController; HelpController; Home3DAttributesController; HomeController; HomeController3D; HomeFurnitureController; ImportedFurnitureWizardController; ImportedTextureWizardController; LabelController; LevelController; ModelMaterialsController; ObserverCameraController; PageSetupController; PhotoController; PhotosController; PlanController; PolylineController; PrintPreviewController; RoomController; TextureChoiceController; ThreadedTaskController; UserPreferencesController; VideoController; WallController; WizardController. Outgoing dependencies: FurnitureCatalog; UserPreferences; FurnitureCatalogController; View; Home; FurnitureController; PlanController; PlanView; HomeController3D; HomeController; HomeView; WizardController; DialogView; BackgroundImage; BackgroundImageWizardController; CatalogPieceOfFurniture; ImportedFurnitureWizardController; ImportedFurnitureWizardStepsView; CatalogTexture; ImportedTextureWizardController; ThreadedTaskController; ThreadedTaskView; UserPreferencesController; LevelController; HomeFurnitureController; WallController; RoomController; PolylineController; LabelController; CompassController; ObserverCameraController; Home3DAttributesController; TextureChoiceController; TextureChoiceView; BaseboardChoiceController; ModelMaterialsController; PageSetupController; PrintPreviewController; PhotoController; PhotosController; VideoController; HelpController; HelpView
